id,label,pagerank,degree,weighted degree,betweenness,modularity_class,eigencentrality,top names
Dolf,Dolf,3.85E-04,1,10,0,3,0.002533387,
Donal-Noye,Donal Noye,0.001327243,8,85,75.87815019,1,0.08416131,
Jommo,Jommo,6.11E-04,2,6,0,0,0.004351901,
Ogo,Ogo,9.89E-04,3,18,794,0,0.004711173,
Rhaego,Rhaego,3.31E-04,1,5,0,0,0.00373751,
Dywen,Dywen,0.001339033,8,55,174.5140278,1,0.054808031,
Galbart-Glover,Galbart Glover,0.001282566,8,34,298.6687127,5,0.110627915,
Gendry,Gendry,0.003236759,20,238,3934.637105,4,0.160128291,Gendry
High-Septon-(fat_one),High Septon (fat_one),5.57E-04,3,12,0,3,0.088565135,
Howland-Reed,Howland Reed,4.52E-04,2,6,0,5,0.043584998,
Jacks,Jacks,3.20E-04,1,4,0,2,0.025966597,
Joss,Joss,3.20E-04,1,5,0,2,0.025966597,
Marq-Piper,Marq Piper,0.001212414,8,32,56.16199054,5,0.124976174,
Porther,Porther,3.20E-04,1,4,0,2,0.025966597,
Raymun-Darry,Raymun Darry,4.35E-04,2,12,0,2,0.052092503,
Tobho-Mott,Tobho Mott,3.20E-04,1,7,0,2,0.025966597,
Tregar,Tregar,3.20E-04,1,4,0,2,0.025966597,
Varly,Varly,3.20E-04,1,4,0,2,0.025966597,
Wyl-(guard),Wyl (guard),7.75E-04,4,15,85.01684909,2,0.068585616,
Wylla,Wylla,3.20E-04,1,3,0,2,0.025966597,
Fogo,Fogo,4.69E-04,1,4,0,0,6.14E-04,
Roose-Bolton,Roose Bolton,0.003959645,28,232,1753.615171,3,0.358208392,Roose
Gared,Gared,8.41E-04,3,29,322.2280893,8,0.008913109,
Will-(prologue),Will (prologue),6.65E-04,2,30,0,8,0.00147331,
Oswell-Whent,Oswell Whent,8.64E-04,3,9,378.7973154,2,0.005064513,
Todder,Todder,7.21E-04,4,41,0,1,0.034339742,
Gunthor-son-of-Gurn,Gunthor son of Gurn,3.16E-04,1,7,0,3,0.034764842,
Harys-Swyft,Harys Swyft,0.001252343,9,42,26.16934806,3,0.13985087,
Heward,Heward,4.75E-04,2,8,0,2,0.014037311,
Hobb,Hobb,0.001638237,11,49,27.4538146,1,0.079926434,
Hugh,Hugh,3.22E-04,1,3,0,2,0.010405177,
Jafer-Flowers,Jafer Flowers,3.70E-04,1,3,0,1,0.001938291,
Kevan-Lannister,Kevan Lannister,0.002385238,17,196,597.5564485,3,0.280614087,Kevan
Matthar,Matthar,3.30E-04,1,3,0,1,0.024617956,
Othor,Othor,3.30E-04,1,5,0,1,0.024617956,
Maege-Mormont,Maege Mormont,8.72E-04,5,27,1.266666667,5,0.061334153,
Jonos-Bracken,Jonos Bracken,4.80E-04,2,12,0,3,0.032912876,
Jyck,Jyck,5.50E-04,2,11,0,3,0.036319517,
Morrec,Morrec,5.50E-04,2,10,0,3,0.036319517,
Kurleket,Kurleket,3.16E-04,1,5,0,3,0.034764842,
Lancel-Lannister,Lancel Lannister,0.001664997,12,149,164.1963342,3,0.221468115,
Leo-Lefford,Leo Lefford,3.16E-04,1,4,0,3,0.034764842,
Mace-Tyrell,Mace Tyrell,0.003085661,23,203,1856.236556,3,0.336093287,Mace
Lyn-Corbray,Lyn Corbray,7.62E-04,4,17,6.643466419,5,0.038617862,
Paxter-Redwyne,Paxter Redwyne,9.35E-04,6,34,243.9115707,3,0.090894674,
Maegor-I-Targaryen,Maegor I Targaryen,0.0010601,6,22,798.6260349,3,0.093553034,
Mord,Mord,3.16E-04,1,20,0,3,0.034764842,
Randyll-Tarly,Randyll Tarly,0.002076634,13,67,1411.68223,3,0.125851241,
Timett,Timett,7.46E-04,4,29,1.295454545,3,0.063942497,
Ulf-son-of-Umar,Ulf son of Umar,3.85E-04,1,4,0,3,0.002533387,
Harren-Hoare,Harren Hoare,6.34E-04,3,16,24.19760511,4,0.032314801,
Rhaenys-Targaryen,Rhaenys Targaryen,6.21E-04,2,7,0,0,0.004608076,
Visenya-Targaryen,Visenya Targaryen,6.21E-04,2,6,0,0,0.004608076,
Aegon-V-Targaryen,Aegon V Targaryen,3.25E-04,1,6,0,1,0.006692821,
Daeron-II-Targaryen,Daeron II Targaryen,4.77E-04,2,6,393.496947,0,0.019114822,
Maekar-I-Targaryen,Maekar I Targaryen,3.25E-04,1,3,0,1,0.006692821,
Aenys-Frey,Aenys Frey,8.31E-04,4,19,256.2373336,7,0.047251802,
Aeron-Greyjoy,Aeron Greyjoy,0.0038906,15,151,4082.494978,6,0.040095201,Aeron
Dagmer,Dagmer,0.001018808,5,23,45.43942746,6,0.042479075,
Aerys-I-Targaryen,Aerys I Targaryen,3.03E-04,1,3,0,2,0.026125906,
Aggar,Aggar,0.001520711,4,13,2523.900785,6,0.008693986,
Gariss,Gariss,0.001052227,2,8,794,6,0.001154377,
Gelmarr,Gelmarr,5.12E-04,1,3,0,6,7.58E-04,
Gynir,Gynir,7.14E-04,2,7,25.43809524,6,0.002127967,
Ramsay-Snow,Ramsay Snow,0.003954207,23,241,5274.789036,6,0.199160504,Ramsay
Belwas,Belwas,0.002041348,13,153,88.69169153,0,0.058979374,
Alayaya,Alayaya,8.72E-04,4,16,794,3,0.076250031,
Dancy,Dancy,3.74E-04,1,3,0,3,0.002847462,
Alebelly,Alebelly,8.32E-04,4,19,2.25,5,0.023056931,
Hayhead,Hayhead,4.97E-04,2,9,0,5,0.01882299,
Jojen-Reed,Jojen Reed,0.001551907,10,261,85.7207165,5,0.062153071,
Mikken,Mikken,9.94E-04,5,25,74.50154579,5,0.039473929,
Alester-Florent,Alester Florent,0.001199388,7,41,114.5154628,7,0.063566562,
Cortnay-Penrose,Cortnay Penrose,0.001183719,7,39,208.4130871,7,0.106541946,
Davos-Seaworth,Davos Seaworth,0.006084221,33,483,7526.411338,7,0.185813207,Davos
Allar-Deem,Allar Deem,4.32E-04,2,7,0,3,0.046269918,
Allard-Seaworth,Allard Seaworth,6.95E-04,3,13,5.25952381,7,0.034590017,
Marya-Seaworth,Marya Seaworth,5.16E-04,2,8,0,7,0.027671643,
Amabel,Amabel,5.64E-04,2,10,0,4,0.025416763,
Harra,Harra,5.64E-04,2,7,0,4,0.025416763,
Amory-Lorch,Amory Lorch,0.002540689,20,105,372.884547,3,0.261540205,Amory
Chiswyck,Chiswyck,0.001640624,13,56,13.49966205,3,0.175149983,
Dunsen,Dunsen,0.001640624,13,154,13.49966205,3,0.175149983,
Hot-Pie,Hot Pie,0.001858775,11,195,959.5332102,4,0.059387407,
Polliver,Polliver,0.001756667,14,151,28.27148492,3,0.201211425,
Rafford,Rafford,0.001646371,13,171,14.67904097,3,0.201537131,
Tickler,Tickler,0.001516494,12,143,0,3,0.172148959,
Vargo-Hoat,Vargo Hoat,0.001530598,10,73,215.8913577,3,0.120338791,
Ardrian-Celtigar,Ardrian Celtigar,4.26E-04,1,5,0,7,0.00152636,
Monford-Velaryon,Monford Velaryon,8.37E-04,3,11,794,7,0.033731029,
Aron-Santagar,Aron Santagar,2.99E-04,1,3,0,3,0.015707196,
Arwyn-Oakheart,Arwyn Oakheart,3.24E-04,1,3,0,3,0.004661276,
Biter,Biter,8.62E-04,5,47,29.7983532,4,0.052072932,
Dobber,Dobber,3.25E-04,1,4,0,4,0.024202024,
Jaqen-Hghar,Jaqen Hghar,9.96E-04,6,64,8.877518315,4,0.045688197,
Koss,Koss,4.51E-04,2,8,0,4,0.031468993,
Lommy-Greenhands,Lommy Greenhands,0.001038482,6,99,3.518372953,4,0.043292567,
Praed,Praed,3.25E-04,1,3,0,4,0.024202024,
Rorge,Rorge,0.001448879,9,77,131.8848447,4,0.076406188,
Weasel,Weasel,7.39E-04,4,27,1.7,4,0.031812834,
Weese,Weese,0.001166988,8,49,33.91869674,4,0.082994348,
Woth,Woth,8.79E-04,5,18,0,4,0.041882412,
Asha-Greyjoy,Asha Greyjoy,0.005265032,25,234,10423.10785,6,0.107656321,Asha
Wex-Pyke,Wex Pyke,0.001190263,5,32,679.5036529,6,0.025683591,
Axell-Florent,Axell Florent,0.001691776,10,98,537.6030427,7,0.080978319,
Selyse-Florent,Selyse Florent,0.00307527,19,207,1789.747494,7,0.126902052,Selyse
Bael-the-Bard,Bael the Bard,3.43E-04,1,5,0,1,0.002796225,
Ygritte,Ygritte,0.002362903,13,165,838.014251,1,0.060620634,Ygritte
Ballabar,Ballabar,8.23E-04,3,23,794,3,0.040101033,
Podrick-Payne,Podrick Payne,0.001921946,11,159,1070.096438,3,0.137376909,
Victarion-Greyjoy,Victarion Greyjoy,0.006258141,24,215,11504.39941,6,0.057046743,Victarion
Mandon-Moore,Mandon Moore,0.001244719,9,57,7.284189164,3,0.200739459,
Osmund-Kettleblack,Osmund Kettleblack,0.002346624,18,218,211.6741335,3,0.259201329,Osmund
Benfred-Tallhart,Benfred Tallhart,9.14E-04,4,16,115.8096282,6,0.01944751,
Helman-Tallhart,Helman Tallhart,7.68E-04,4,13,42.93527824,7,0.023514568,
Leobald-Tallhart,Leobald Tallhart,6.59E-04,3,11,6.48118627,5,0.016288622,
Stygg,Stygg,7.77E-04,3,10,1.333333333,6,0.018362243,
Beth-Cassel,Beth Cassel,6.01E-04,3,11,0,5,0.046905296,
Gyles-Rosby,Gyles Rosby,0.002326555,18,101,131.1192975,3,0.224698024,Gyles
Tanda-Stokeworth,Tanda Stokeworth,0.001024912,7,48,7.279956241,3,0.118260974,
Chayle,Chayle,4.89E-04,2,7,0,5,0.019391809,
Cley-Cerwyn,Cley Cerwyn,5.97E-04,3,12,0,5,0.032789744,
Donella-Hornwood,Donella Hornwood,0.001246828,7,28,70.72646226,5,0.050680625,
Meera-Reed,Meera Reed,0.001768262,11,291,95.04365083,5,0.061016843,
Poxy-Tym,Poxy Tym,3.20E-04,1,3,0,5,0.0176184,
Reek,Reek,4.66E-04,2,7,0,6,0.024964604,
Stafford-Lannister,Stafford Lannister,7.04E-04,4,14,15.41944492,5,0.096250381,
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos),6.21E-04,3,26,0,5,0.036841523,
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),0.00137018,8,52,43.30655917,5,0.075141062,
Wyman-Manderly,Wyman Manderly,0.002910541,17,116,2917.165276,7,0.16308695,Wyman
Brienne-of-Tarth,Brienne of Tarth,0.007058737,45,521,10179.18938,3,0.452081723,Brienne
Emmon-Cuy,Emmon Cuy,6.23E-04,3,14,5.341358905,3,0.034414949,
Robar-Royce,Robar Royce,6.25E-04,3,13,15.85098596,5,0.041208988,
Selwyn-Tarth,Selwyn Tarth,3.22E-04,1,4,0,3,0.015596186,
Vyman,Vyman,5.74E-04,3,23,1.829999576,5,0.04473931,
Jacelyn-Bywater,Jacelyn Bywater,0.001229896,9,55,4.788073548,3,0.162241826,
Bryce-Caron,Bryce Caron,0.001167689,5,21,1633.207192,7,0.048579715,
Eldon-Estermont,Eldon Estermont,8.57E-04,2,6,794,7,0.002406398,
Guyard-Morrigen,Guyard Morrigen,5.11E-04,2,12,0,7,0.019108629,
Captain-Myraham,Captain Myraham,3.44E-04,1,4,0,6,0.016261803,
Captain-Myraham-Daughter,Captain Myraham Daughter,3.44E-04,1,3,0,6,0.016261803,
Cleos-Frey,Cleos Frey,0.001082854,7,86,6.16494568,3,0.186126909,
Colen-of-Greenpools,Colen of Greenpools,4.39E-04,2,9,0,5,0.041226016,
Desmond-Grell,Desmond Grell,7.32E-04,4,30,1.00842729,5,0.059175248,
Margaery-Tyrell,Margaery Tyrell,0.003992073,30,442,1434.763104,3,0.350041424,Margaery
Mathis-Rowan,Mathis Rowan,0.001352789,8,35,816.8991195,3,0.098870457,
Utherydes-Wayn,Utherydes Wayn,5.98E-04,3,15,0,5,0.050602238,
Osfryd-Kettleblack,Osfryd Kettleblack,5.36E-04,3,25,0,3,0.044210252,
Osney-Kettleblack,Osney Kettleblack,0.001547265,11,85,154.1586754,3,0.116502068,
Preston-Greenfield,Preston Greenfield,4.33E-04,2,6,0,3,0.065932144,
Vylarr,Vylarr,4.33E-04,2,9,0,3,0.065932144,
Chataya,Chataya,3.16E-04,1,10,0,3,0.034764842,
Craster,Craster,0.002525047,15,193,1229.075139,1,0.075902081,Craster
Eddison-Tollett,Eddison Tollett,0.003002203,20,154,986.9119719,1,0.103188447,Eddison
Thoren-Smallwood,Thoren Smallwood,0.001692917,9,56,808.2138273,1,0.054158851,
Cressen,Cressen,0.001426766,9,84,111.25764,7,0.097067241,
Melisandre,Melisandre,0.003548023,23,327,2048.457395,7,0.186493669,Melisandre
Patchface,Patchface,7.30E-04,4,23,0,7,0.0394938,
Pylos,Pylos,0.001053936,6,77,1.233333333,7,0.047536882,
Shireen-Baratheon,Shireen Baratheon,0.002130208,13,68,1028.679412,7,0.123800848,
Cutjack,Cutjack,0.001247862,3,10,1587,4,0.00673368,
Kurz,Kurz,5.42E-04,1,4,0,4,6.60E-04,
Tarber,Tarber,5.42E-04,1,3,0,4,6.60E-04,
Lynesse-Hightower,Lynesse Hightower,3.40E-04,1,3,0,0,0.012422001,
Pono,Pono,7.47E-04,4,14,15.28963662,0,0.025037539,
Pyat-Pree,Pyat Pree,5.37E-04,2,24,0,0,0.013780317,
Quaithe,Quaithe,3.40E-04,1,11,0,0,0.012422001,
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,6.96E-04,3,42,14.12382294,0,0.027358921,
Dalbridge,Dalbridge,6.53E-04,3,13,0,1,0.029464811,
Ebben,Ebben,8.33E-04,4,26,0.333333333,1,0.0309562,
Qhorin-Halfhand,Qhorin Halfhand,0.00240395,14,166,888.2877586,1,0.075778354,Qhorin
Devan-Seaworth,Devan Seaworth,0.00102156,6,55,103.5613462,7,0.084124067,
Imry-Florent,Imry Florent,3.45E-04,1,3,0,7,0.007183182,
Matthos-Seaworth,Matthos Seaworth,3.45E-04,1,3,0,7,0.007183182,
Salladhor-Saan,Salladhor Saan,9.30E-04,5,74,3.012517254,7,0.045247265,
Mors-Umber,Mors Umber,8.30E-04,4,17,75.19478687,7,0.031108261,
Dontos-Hollard,Dontos Hollard,0.001328258,9,103,147.8043361,3,0.160439746,
Moon-Boy,Moon Boy,6.60E-04,4,36,2.936563953,3,0.053006591,
Doran-Martell,Doran Martell,0.003047393,21,203,4588.03101,11,0.20974605,Doran
Drennan,Drennan,5.72E-04,2,6,0,6,0.017324459,
Squint,Squint,8.05E-04,3,9,2.333333333,6,0.018599626,
Stonesnake,Stonesnake,8.08E-04,4,26,0.666666667,1,0.032261036,
Maron-Greyjoy,Maron Greyjoy,3.20E-04,1,3,0,2,0.025966597,
