id,label,pagerank,degree,weighted degree,betweenness,modularity_class,eigencentrality,top names
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen,3.39E-04,1,3,0,3,0.00337656,
Rugen,Rugen,5.07E-04,1,3,0,3,0.001372278,
Jeyne-Farman,Jeyne Farman,4.00E-04,1,4,0,3,0.002442418,
Myranda-Royce,Myranda Royce,5.98E-04,3,13,6.961876897,5,0.034519772,
Lucas-Codd,Lucas Codd,9.87E-04,2,6,794,6,0.001100272,
Torwold-Browntooth,Torwold Browntooth,6.08E-04,1,3,0,6,4.51E-04,
Lyonel-Corbray,Lyonel Corbray,4.68E-04,2,7,0,5,0.021546276,
Manfrey-Martell,Manfrey Martell,5.29E-04,1,4,0,11,5.32E-04,
Pate-(whipping-boy),Pate (whipping boy),2.99E-04,1,4,0,3,0.015116342,
Puckens,Puckens,7.28E-04,2,6,794,2,0.014532837,
Shortear,Shortear,4.98E-04,1,3,0,2,8.39E-04,
Quhuru-Mo,Quhuru Mo,5.62E-04,2,8,0,1,0.009736332,
Ralf-(Limper),Ralf (Limper),4.10E-04,1,7,0,6,0.003085151,
Sarella-Sand,Sarella Sand,3.47E-04,1,3,0,11,0.001456827,
Talbert-Serry,Talbert Serry,4.10E-04,1,10,0,6,0.003085151,
Spotted-Cat,Spotted Cat,0.001340791,6,26,1059.272147,0,0.018813588,
Penny,Penny,0.00125606,7,92,88.0767184,3,0.061966413,
Moqorro,Moqorro,0.001114343,5,39,760.54298,6,0.053061896,
Meris,Meris,0.001392504,6,43,967.5637068,0,0.020048654,
Hero,Hero,7.51E-04,4,24,0,0,0.020163275,
Ezzara,Ezzara,3.40E-04,1,3,0,0,0.012422001,
Lysono-Maar,Lysono Maar,3.40E-04,1,3,0,0,0.012422001,
Marselen,Marselen,5.92E-04,2,7,0,0,0.01331065,
Mezzara,Mezzara,5.38E-04,2,7,0,0,0.013599295,
Miklaz,Miklaz,9.20E-04,3,10,794,0,0.014011935,
Qavo-Nogarys,Qavo Nogarys,6.08E-04,3,16,9.083551042,3,0.049894571,
Qezza,Qezza,0.001162156,5,21,33.59187488,0,0.018543997,
Symon-Stripeback,Symon Stripeback,5.92E-04,2,8,0,0,0.01331065,
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak,3.40E-04,1,4,0,0,0.012422001,
Myles-Toyne,Myles Toyne,5.37E-04,2,13,0,3,0.006010094,
Nyessos-Vhassar,Nyessos Vhassar,7.77E-04,2,10,794,3,0.005642346,
Alys-Karstark,Alys Karstark,6.25E-04,3,24,0,1,0.03408331,
Alysane-Mormont,Alysane Mormont,6.77E-04,3,28,0,6,0.032420731,
Richard-Horpe,Richard Horpe,4.98E-04,2,10,0,6,0.027801198,
Archibald-Yronwood,Archibald Yronwood,8.85E-04,4,43,0.75,0,0.007581466,
Cletus-Yronwood,Cletus Yronwood,0.001077771,5,23,248.3927396,0,0.018729442,
Kedry,Kedry,5.31E-04,2,6,0,0,0.004204625,
Arnolf-Karstark,Arnolf Karstark,0.001125186,5,20,826.8968899,7,0.038478591,
Arthor-Karstark,Arthor Karstark,3.80E-04,1,3,0,7,0.001735619,
Arron,Arron,6.72E-04,3,14,0,1,0.005422305,
Emrick,Emrick,6.72E-04,3,12,0,1,0.005422305,
Hop-Robin,Hop Robin,6.38E-04,3,13,0,1,0.028665602,
Rowan,Rowan,9.43E-04,5,27,18.18685727,6,0.03371349,
Squirrel,Squirrel,7.60E-04,4,20,2.90167899,6,0.032519751,
Skinner,Skinner,0.001180776,5,25,794,6,0.026928333,
Sour-Alyn,Sour Alyn,0.001260847,6,34,4.45,6,0.028755228,
Ashara-Dayne,Ashara Dayne,3.26E-04,1,3,0,3,0.005385163,
Barbrey-Dustin,Barbrey Dustin,0.001079768,6,37,57.67259521,6,0.068631101,
Roger-Ryswell,Roger Ryswell,4.96E-04,2,8,0,6,0.018970983,
Kasporio,Kasporio,6.42E-04,3,9,0,3,0.03961452,
Tybero-Istarion,Tybero Istarion,6.42E-04,3,16,0,3,0.03961452,
Marghaz-zo-Loraq,Marghaz zo Loraq,3.32E-04,1,5,0,0,0.003290408,
Barsena,Barsena,3.40E-04,1,4,0,0,0.012422001,
Bartimus,Bartimus,3.45E-04,1,4,0,7,0.007183182,
Garth-(Wolfs-Den),Garth (Wolfs Den),5.13E-04,2,7,0,7,0.009896675,
Godric-Borrell,Godric Borrell,3.45E-04,1,9,0,7,0.007183182,
Leona-Woolfield,Leona Woolfield,4.91E-04,2,7,0,7,0.013198875,
Marlon-Manderly,Marlon Manderly,4.76E-04,2,8,0,7,0.033303583,
Belaquo,Belaquo,8.35E-04,4,18,4.04536273,0,0.007991175,
Goghor-the-Giant,Goghor the Giant,8.72E-04,4,22,0.333333333,0,0.006474194,
Ben-Bones,Ben Bones,4.90E-04,2,9,0,6,0.023608006,
Sweets,Sweets,6.43E-04,3,17,0,3,0.039209744,
Benerro,Benerro,7.97E-04,4,18,11.69996701,3,0.052158685,
Rodrik-Sparr,Rodrik Sparr,6.00E-04,2,11,0,6,0.005349266,
Benethon-Scales,Benethon Scales,4.99E-04,2,7,0,7,0.006713757,
Black-Balaq,Black Balaq,4.28E-04,1,3,0,3,7.61E-04,
Cellador,Cellador,7.22E-04,4,22,0.5,1,0.035868431,
Brandon-Norrey,Brandon Norrey,7.68E-04,2,6,794,1,0.025037522,
Torghen-Flint,Torghen Flint,5.15E-04,1,3,0,1,0.001258361,
Brus-Buckler,Brus Buckler,6.76E-04,3,15,0,7,0.008271643,
Bump,Bump,4.31E-04,1,5,0,1,0.001792205,
Caggo,Caggo,0.001238581,5,24,794,0,0.00807552,
Lucifer-Long,Lucifer Long,3.99E-04,1,3,0,0,8.08E-04,
Camarron,Camarron,3.78E-04,1,3,0,0,0.001226534,
Corliss-Penny,Corliss Penny,3.19E-04,1,3,0,7,0.0261204,
Cromm,Cromm,6.37E-04,2,8,0,6,0.001592139,
Nurse,Nurse,7.68E-04,4,28,4.084220355,3,0.045380044,
Damon-Dance-for-Me,Damon Dance for Me,0.001068466,5,26,2.95,6,0.027559899,
Grunt,Grunt,7.04E-04,3,13,0,6,0.019155249,
Denzo-Dhan,Denzo Dhan,3.86E-04,1,3,0,0,0.001271785,
Dick-Straw,Dick Straw,8.44E-04,2,7,794,0,0.00180892,
Hugh-Hungerford,Hugh Hungerford,5.47E-04,1,3,0,0,4.79E-04,
Draqaz,Draqaz,4.49E-04,1,3,0,0,9.48E-04,
Dryn,Dryn,3.42E-04,1,3,0,1,0.002962739,
Frenya,Frenya,5.25E-04,2,9,0,6,0.017526204,
Holly,Holly,8.56E-04,4,23,2.759174664,6,0.024386786,
Fulk,Fulk,4.71E-04,2,9,0,1,0.026825827,
Garth-Greyfeather,Garth Greyfeather,6.91E-04,3,11,0,4,0.027820011,
Hairy-Hal,Hairy Hal,6.91E-04,3,11,0,4,0.027820011,
Gerrick-Kingsblood,Gerrick Kingsblood,7.68E-04,2,8,794,1,0.025037522,
Raymun-Redbeard,Raymun Redbeard,5.15E-04,1,3,0,1,0.001258361,
Haggon,Haggon,4.31E-04,1,8,0,1,0.001792205,
Harl,Harl,4.07E-04,1,3,0,6,0.001354198,
Harwood-Stout,Harwood Stout,3.44E-04,1,5,0,6,0.016261803,
Hoster-Blackwood,Hoster Blackwood,3.19E-04,1,4,0,3,0.030339206,
Hother-Umber,Hother Umber,7.91E-04,4,16,13.55925843,7,0.020009838,
Rhaegar-Frey,Rhaegar Frey,5.76E-04,2,6,199.4996727,7,0.006534398,
Kerwin,Kerwin,4.10E-04,1,12,0,6,0.003085151,
Longwater-Pyke,Longwater Pyke,4.10E-04,1,3,0,6,0.003085151,
Luton,Luton,3.89E-04,1,3,0,6,0.001391287,
Lyanna-Mormont,Lyanna Mormont,3.19E-04,1,3,0,7,0.0261204,
Malaquo-Maegyr,Malaquo Maegyr,5.19E-04,1,7,0,3,5.92E-04,
Morgo,Morgo,3.16E-04,1,4,0,3,0.034764842,
Old-Bill-Bone,Old Bill Bone,3.48E-04,1,3,0,0,0.003015673,
Roose-Ryswell,Roose Ryswell,3.19E-04,1,3,0,7,0.0261204,
Scar,Scar,4.90E-04,2,12,0,3,0.036611539,
Shrouded-Lord,Shrouded Lord,3.16E-04,1,4,0,3,0.034764842,
Thistle,Thistle,4.31E-04,1,7,0,1,0.001792205,
